no,name,class,gender,rarity,pitch,pace,signature,description
17,Morning Sprint,Genki & Sunshine,Masculine,5,High,Dash,yes,"Teenage boy. A relentlessly upbeat runner who greets 5 AM like a personal challenge. The voice is a bright, airy high register, carried on rapid-fire, excitable delivery. Giggles mid-sentence and restarts with double the energy. Zero malice — just pure, uncomplicated joy."
18,Morning Sprint · Bell Lilt,Genki & Sunshine,Masculine,4,High,Lilt,no,"Teenage boy. A relentlessly upbeat runner who greets 5 AM like a personal challenge. The voice is a rich, bell-like register, carried on a bouncy, sing-song lilt. Carries an audible smile through half the lines. Old grief pressed flat beneath the calm."
19,Morning Sprint · Bell Burst,Genki & Sunshine,Masculine,3,High,Burst,no,"Teenage boy. A relentlessly upbeat runner who greets 5 AM like a personal challenge. The voice is a rich, bell-like register, carried on explosive, hard-hitting bursts. Giggles mid-sentence and restarts with double the energy. Curiosity always wins over caution."
20,Morning Sprint · Reed Dash,Genki & Sunshine,Masculine,4,Mid,Dash,no,"Teenage boy. A relentlessly upbeat runner who greets 5 AM like a personal challenge. The voice is a reedy, nasal register, carried on rapid-fire, excitable delivery. Trails off mid-thought, then blurts the punchline. The patience of someone who has waited centuries."
21,Morning Sprint · Reed Lilt,Genki & Sunshine,Masculine,4,Mid,Lilt,no,"Teenage boy. A relentlessly upbeat runner who greets 5 AM like a personal challenge. The voice is a reedy, nasal register, carried on a bouncy, sing-song lilt. Carries an audible smile through half the lines. A temper banked like coals — not out, never out."
22,Morning Sprint · Reed Burst,Genki & Sunshine,Masculine,3,Mid,Burst,no,"Teenage boy. A relentlessly upbeat runner who greets 5 AM like a personal challenge. The voice is a reedy, nasal register, carried on explosive, hard-hitting bursts. Giggles mid-sentence and restarts with double the energy. Kindness delivered like a favor you cannot refuse."
23,Morning Sprint · Sunbeam Dash,Genki & Sunshine,Masculine,4,High,Dash,no,"Teenage boy. A relentlessly upbeat runner who greets 5 AM like a personal challenge. The voice is a bright, airy high register, carried on rapid-fire, excitable delivery. Trails off mid-thought, then blurts the punchline. Wonder leaks through every other line."
24,Morning Sprint · Sunbeam Lilt,Genki & Sunshine,Masculine,4,High,Lilt,no,"Teenage boy. A relentlessly upbeat runner who greets 5 AM like a personal challenge. The voice is a bright, airy high register, carried on a bouncy, sing-song lilt. Carries an audible smile through half the lines. Something far away listens through the voice."
25,Bubblegum Bolt,Genki & Sunshine,Feminine,5,High,Dash,yes,"Young woman. A bouncy ball of enthusiasm who physically cannot end a sentence on a down note. The voice is a bright, airy high register, carried on rapid-fire, excitable delivery. Giggles mid-sentence and restarts with double the energy. Old grief pressed flat beneath the calm."
26,Bubblegum Bolt · Reed Lilt,Genki & Sunshine,Feminine,3,Mid,Lilt,no,"Young woman. A bouncy ball of enthusiasm who physically cannot end a sentence on a down note. The voice is a reedy, nasal register, carried on a bouncy, sing-song lilt. Trails off mid-thought, then blurts the punchline. Curiosity always wins over caution."
27,Bubblegum Bolt · Reed Burst,Genki & Sunshine,Feminine,4,Mid,Burst,no,"Young woman. A bouncy ball of enthusiasm who physically cannot end a sentence on a down note. The voice is a reedy, nasal register, carried on explosive, hard-hitting bursts. Carries an audible smile through half the lines. The patience of someone who has waited centuries."
28,Bubblegum Bolt · Sunbeam Dash,Genki & Sunshine,Feminine,4,High,Dash,no,"Young woman. A bouncy ball of enthusiasm who physically cannot end a sentence on a down note. The voice is a bright, airy high register, carried on rapid-fire, excitable delivery. Giggles mid-sentence and restarts with double the energy. A temper banked like coals — not out, never out."
29,Bubblegum Bolt · Sunbeam Lilt,Genki & Sunshine,Feminine,3,High,Lilt,no,"Young woman. A bouncy ball of enthusiasm who physically cannot end a sentence on a down note. The voice is a bright, airy high register, carried on a bouncy, sing-song lilt. Trails off mid-thought, then blurts the punchline. Kindness delivered like a favor you cannot refuse."
30,Bubblegum Bolt · Sunbeam Burst,Genki & Sunshine,Feminine,4,High,Burst,no,"Young woman. A bouncy ball of enthusiasm who physically cannot end a sentence on a down note. The voice is a bright, airy high register, carried on explosive, hard-hitting bursts. Carries an audible smile through half the lines. Wonder leaks through every other line."
31,Bubblegum Bolt · Honey Dash,Genki & Sunshine,Feminine,4,Mid,Dash,no,"Young woman. A bouncy ball of enthusiasm who physically cannot end a sentence on a down note. The voice is a warm, honeyed mid register, carried on rapid-fire, excitable delivery. Giggles mid-sentence and restarts with double the energy. Something far away listens through the voice."
32,Bubblegum Bolt · Honey Lilt,Genki & Sunshine,Feminine,4,Mid,Lilt,no,"Young woman. A bouncy ball of enthusiasm who physically cannot end a sentence on a down note. The voice is a warm, honeyed mid register, carried on a bouncy, sing-song lilt. Trails off mid-thought, then blurts the punchline. Underneath the noise, there is warmth that sneaks up on you."
33,Radiant Coach,Genki & Sunshine,Feminine,5,High,Dash,yes,"Adult woman. A peppy trainer whose encouragement comes a hundred miles an hour and hits like a hug. The voice is a bright, airy high register, carried on rapid-fire, excitable delivery. Giggles mid-sentence and restarts with double the energy. Curiosity always wins over caution."
34,Radiant Coach · Sunbeam Lilt,Genki & Sunshine,Feminine,4,High,Lilt,no,"Adult woman. A peppy trainer whose encouragement comes a hundred miles an hour and hits like a hug. The voice is a bright, airy high register, carried on a bouncy, sing-song lilt. Giggles mid-sentence and restarts with double the energy. The patience of someone who has waited centuries."
35,Radiant Coach · Sunbeam Burst,Genki & Sunshine,Feminine,4,High,Burst,no,"Adult woman. A peppy trainer whose encouragement comes a hundred miles an hour and hits like a hug. The voice is a bright, airy high register, carried on explosive, hard-hitting bursts. Trails off mid-thought, then blurts the punchline. A temper banked like coals — not out, never out."
36,Radiant Coach · Honey Dash,Genki & Sunshine,Feminine,3,Mid,Dash,no,"Adult woman. A peppy trainer whose encouragement comes a hundred miles an hour and hits like a hug. The voice is a warm, honeyed mid register, carried on rapid-fire, excitable delivery. Carries an audible smile through half the lines. Kindness delivered like a favor you cannot refuse."
37,Radiant Coach · Honey Lilt,Genki & Sunshine,Feminine,4,Mid,Lilt,no,"Adult woman. A peppy trainer whose encouragement comes a hundred miles an hour and hits like a hug. The voice is a warm, honeyed mid register, carried on a bouncy, sing-song lilt. Giggles mid-sentence and restarts with double the energy. Wonder leaks through every other line."
38,Radiant Coach · Honey Burst,Genki & Sunshine,Feminine,4,Mid,Burst,no,"Adult woman. A peppy trainer whose encouragement comes a hundred miles an hour and hits like a hug. The voice is a warm, honeyed mid register, carried on explosive, hard-hitting bursts. Trails off mid-thought, then blurts the punchline. Something far away listens through the voice."
39,Radiant Coach · Bell Dash,Genki & Sunshine,Feminine,4,High,Dash,no,"Adult woman. A peppy trainer whose encouragement comes a hundred miles an hour and hits like a hug. The voice is a rich, bell-like register, carried on rapid-fire, excitable delivery. Carries an audible smile through half the lines. Underneath the noise, there is warmth that sneaks up on you."
40,Radiant Coach · Bell Lilt,Genki & Sunshine,Feminine,3,High,Lilt,no,"Adult woman. A peppy trainer whose encouragement comes a hundred miles an hour and hits like a hug. The voice is a rich, bell-like register, carried on a bouncy, sing-song lilt. Giggles mid-sentence and restarts with double the energy. A quiet current of menace runs beneath the polish."
41,Scarlet Scowl,Tsundere Fire,Feminine,5,High,Dash,yes,"Teenage girl. Fiercely proud and allergic to compliments; says 'idiot' the way other people say 'hello'. The voice is a crisp, glass-clear register, carried on rapid-fire, excitable delivery. Clicks their tongue when annoyed — which is often. The patience of someone who has waited centuries."
42,Scarlet Scowl · Husk Dash,Tsundere Fire,Feminine,3,Low,Dash,no,"Teenage girl. Fiercely proud and allergic to compliments; says 'idiot' the way other people say 'hello'. The voice is a husky, intimate register, carried on rapid-fire, excitable delivery. Drops to a stage whisper when scheming. A temper banked like coals — not out, never out."
43,Scarlet Scowl · Husk Lilt,Tsundere Fire,Feminine,4,Low,Lilt,no,"Teenage girl. Fiercely proud and allergic to compliments; says 'idiot' the way other people say 'hello'. The voice is a husky, intimate register, carried on a bouncy, sing-song lilt. Sighs theatrically before every complaint. Kindness delivered like a favor you cannot refuse."
44,Scarlet Scowl · Husk Burst,Tsundere Fire,Feminine,4,Low,Burst,no,"Teenage girl. Fiercely proud and allergic to compliments; says 'idiot' the way other people say 'hello'. The voice is a husky, intimate register, carried on explosive, hard-hitting bursts. Clicks their tongue when annoyed — which is often. Wonder leaks through every other line."
45,Scarlet Scowl · Reed Dash,Tsundere Fire,Feminine,3,Mid,Dash,no,"Teenage girl. Fiercely proud and allergic to compliments; says 'idiot' the way other people say 'hello'. The voice is a reedy, nasal register, carried on rapid-fire, excitable delivery. Drops to a stage whisper when scheming. Something far away listens through the voice."
46,Scarlet Scowl · Reed Lilt,Tsundere Fire,Feminine,4,Mid,Lilt,no,"Teenage girl. Fiercely proud and allergic to compliments; says 'idiot' the way other people say 'hello'. The voice is a reedy, nasal register, carried on a bouncy, sing-song lilt. Sighs theatrically before every complaint. Underneath the noise, there is warmth that sneaks up on you."
47,Scarlet Scowl · Reed Burst,Tsundere Fire,Feminine,4,Mid,Burst,no,"Teenage girl. Fiercely proud and allergic to compliments; says 'idiot' the way other people say 'hello'. The voice is a reedy, nasal register, carried on explosive, hard-hitting bursts. Clicks their tongue when annoyed — which is often. A quiet current of menace runs beneath the polish."
48,Scarlet Scowl · Crystal Dash,Tsundere Fire,Feminine,4,High,Dash,no,"Teenage girl. Fiercely proud and allergic to compliments; says 'idiot' the way other people say 'hello'. The voice is a crisp, glass-clear register, carried on rapid-fire, excitable delivery. Drops to a stage whisper when scheming. Zero malice — just pure, uncomplicated joy."
49,Ember Pride,Tsundere Fire,Masculine,5,High,Dash,yes,"Teenage boy. A self-declared rival whose bravado cracks into flustered stammering the moment someone is nice to him. The voice is a crisp, glass-clear register, carried on rapid-fire, excitable delivery. Clicks their tongue when annoyed — which is often. A temper banked like coals — not out, never out."
50,Ember Pride · Reed Dash,Tsundere Fire,Masculine,4,Mid,Dash,no,"Teenage boy. A self-declared rival whose bravado cracks into flustered stammering the moment someone is nice to him. The voice is a reedy, nasal register, carried on rapid-fire, excitable delivery. Clicks their tongue when annoyed — which is often. Kindness delivered like a favor you cannot refuse."
51,Ember Pride · Reed Lilt,Tsundere Fire,Masculine,4,Mid,Lilt,no,"Teenage boy. A self-declared rival whose bravado cracks into flustered stammering the moment someone is nice to him. The voice is a reedy, nasal register, carried on a bouncy, sing-song lilt. Drops to a stage whisper when scheming. Wonder leaks through every other line."
52,Ember Pride · Reed Burst,Tsundere Fire,Masculine,3,Mid,Burst,no,"Teenage boy. A self-declared rival whose bravado cracks into flustered stammering the moment someone is nice to him. The voice is a reedy, nasal register, carried on explosive, hard-hitting bursts. Sighs theatrically before every complaint. Something far away listens through the voice."
53,Ember Pride · Crystal Dash,Tsundere Fire,Masculine,4,High,Dash,no,"Teenage boy. A self-declared rival whose bravado cracks into flustered stammering the moment someone is nice to him. The voice is a crisp, glass-clear register, carried on rapid-fire, excitable delivery. Clicks their tongue when annoyed — which is often. Underneath the noise, there is warmth that sneaks up on you."
54,Ember Pride · Crystal Lilt,Tsundere Fire,Masculine,4,High,Lilt,no,"Teenage boy. A self-declared rival whose bravado cracks into flustered stammering the moment someone is nice to him. The voice is a crisp, glass-clear register, carried on a bouncy, sing-song lilt. Drops to a stage whisper when scheming. A quiet current of menace runs beneath the polish."
55,Ember Pride · Crystal Burst,Tsundere Fire,Masculine,4,High,Burst,no,"Teenage boy. A self-declared rival whose bravado cracks into flustered stammering the moment someone is nice to him. The voice is a crisp, glass-clear register, carried on explosive, hard-hitting bursts. Sighs theatrically before every complaint. Zero malice — just pure, uncomplicated joy."
56,Ember Pride · Bell Dash,Tsundere Fire,Masculine,3,High,Dash,no,"Teenage boy. A self-declared rival whose bravado cracks into flustered stammering the moment someone is nice to him. The voice is a rich, bell-like register, carried on rapid-fire, excitable delivery. Clicks their tongue when annoyed — which is often. Old grief pressed flat beneath the calm."
57,Thorned Rose,Tsundere Fire,Feminine,5,High,Dash,yes,"Young woman. Haughty and sharp-tongued in public, suspiciously thoughtful in private. The voice is a crisp, glass-clear register, carried on rapid-fire, excitable delivery. Clicks their tongue when annoyed — which is often. Kindness delivered like a favor you cannot refuse."
58,Thorned Rose · Crystal Dash,Tsundere Fire,Feminine,4,High,Dash,no,"Young woman. Haughty and sharp-tongued in public, suspiciously thoughtful in private. The voice is a crisp, glass-clear register, carried on rapid-fire, excitable delivery. Sighs theatrically before every complaint. Wonder leaks through every other line."
59,Thorned Rose · Crystal Lilt,Tsundere Fire,Feminine,3,High,Lilt,no,"Young woman. Haughty and sharp-tongued in public, suspiciously thoughtful in private. The voice is a crisp, glass-clear register, carried on a bouncy, sing-song lilt. Clicks their tongue when annoyed — which is often. Something far away listens through the voice."
60,Thorned Rose · Crystal Burst,Tsundere Fire,Feminine,4,High,Burst,no,"Young woman. Haughty and sharp-tongued in public, suspiciously thoughtful in private. The voice is a crisp, glass-clear register, carried on explosive, hard-hitting bursts. Drops to a stage whisper when scheming. Underneath the noise, there is warmth that sneaks up on you."
61,Thorned Rose · Bell Dash,Tsundere Fire,Feminine,4,High,Dash,no,"Young woman. Haughty and sharp-tongued in public, suspiciously thoughtful in private. The voice is a rich, bell-like register, carried on rapid-fire, excitable delivery. Sighs theatrically before every complaint. A quiet current of menace runs beneath the polish."
62,Thorned Rose · Bell Lilt,Tsundere Fire,Feminine,4,High,Lilt,no,"Young woman. Haughty and sharp-tongued in public, suspiciously thoughtful in private. The voice is a rich, bell-like register, carried on a bouncy, sing-song lilt. Clicks their tongue when annoyed — which is often. Zero malice — just pure, uncomplicated joy."
63,Thorned Rose · Bell Burst,Tsundere Fire,Feminine,3,High,Burst,no,"Young woman. Haughty and sharp-tongued in public, suspiciously thoughtful in private. The voice is a rich, bell-like register, carried on explosive, hard-hitting bursts. Drops to a stage whisper when scheming. Old grief pressed flat beneath the calm."
64,Thorned Rose · Husk Dash,Tsundere Fire,Feminine,4,Low,Dash,no,"Young woman. Haughty and sharp-tongued in public, suspiciously thoughtful in private. The voice is a husky, intimate register, carried on rapid-fire, excitable delivery. Sighs theatrically before every complaint. Curiosity always wins over caution."
65,Molten Crown,Tsundere Fire,Masculine,5,High,Dash,yes,"Young man. An arrogant princeling whose arrogance is forty percent real, sixty percent overcompensation. The voice is a crisp, glass-clear register, carried on rapid-fire, excitable delivery. Clicks their tongue when annoyed — which is often. Wonder leaks through every other line."
66,Molten Crown · Bell Dash,Tsundere Fire,Masculine,3,High,Dash,no,"Young man. An arrogant princeling whose arrogance is forty percent real, sixty percent overcompensation. The voice is a rich, bell-like register, carried on rapid-fire, excitable delivery. Drops to a stage whisper when scheming. Something far away listens through the voice."
67,Molten Crown · Bell Lilt,Tsundere Fire,Masculine,4,High,Lilt,no,"Young man. An arrogant princeling whose arrogance is forty percent real, sixty percent overcompensation. The voice is a rich, bell-like register, carried on a bouncy, sing-song lilt. Sighs theatrically before every complaint. Underneath the noise, there is warmth that sneaks up on you."
68,Molten Crown · Bell Burst,Tsundere Fire,Masculine,4,High,Burst,no,"Young man. An arrogant princeling whose arrogance is forty percent real, sixty percent overcompensation. The voice is a rich, bell-like register, carried on explosive, hard-hitting bursts. Clicks their tongue when annoyed — which is often. A quiet current of menace runs beneath the polish."
69,Molten Crown · Husk Dash,Tsundere Fire,Masculine,4,Low,Dash,no,"Young man. An arrogant princeling whose arrogance is forty percent real, sixty percent overcompensation. The voice is a husky, intimate register, carried on rapid-fire, excitable delivery. Drops to a stage whisper when scheming. Zero malice — just pure, uncomplicated joy."
70,Molten Crown · Husk Lilt,Tsundere Fire,Masculine,3,Low,Lilt,no,"Young man. An arrogant princeling whose arrogance is forty percent real, sixty percent overcompensation. The voice is a husky, intimate register, carried on a bouncy, sing-song lilt. Sighs theatrically before every complaint. Old grief pressed flat beneath the calm."
71,Molten Crown · Husk Burst,Tsundere Fire,Masculine,4,Low,Burst,no,"Young man. An arrogant princeling whose arrogance is forty percent real, sixty percent overcompensation. The voice is a husky, intimate register, carried on explosive, hard-hitting bursts. Clicks their tongue when annoyed — which is often. Curiosity always wins over caution."
72,Molten Crown · Reed Dash,Tsundere Fire,Masculine,4,Mid,Dash,no,"Young man. An arrogant princeling whose arrogance is forty percent real, sixty percent overcompensation. The voice is a reedy, nasal register, carried on rapid-fire, excitable delivery. Drops to a stage whisper when scheming. The patience of someone who has waited centuries."
73,Spark Shield,Tsundere Fire,Feminine,5,High,Dash,yes,"Teenage girl. All prickles and lightning reflexes; softens exactly once per conversation, then denies it. The voice is a crisp, glass-clear register, carried on rapid-fire, excitable delivery. Clicks their tongue when annoyed — which is often. Something far away listens through the voice."
74,Spark Shield · Husk Dash,Tsundere Fire,Feminine,4,Low,Dash,no,"Teenage girl. All prickles and lightning reflexes; softens exactly once per conversation, then denies it. The voice is a husky, intimate register, carried on rapid-fire, excitable delivery. Clicks their tongue when annoyed — which is often. Underneath the noise, there is warmth that sneaks up on you."
75,Spark Shield · Husk Lilt,Tsundere Fire,Feminine,4,Low,Lilt,no,"Teenage girl. All prickles and lightning reflexes; softens exactly once per conversation, then denies it. The voice is a husky, intimate register, carried on a bouncy, sing-song lilt. Drops to a stage whisper when scheming. A quiet current of menace runs beneath the polish."
76,Spark Shield · Husk Burst,Tsundere Fire,Feminine,4,Low,Burst,no,"Teenage girl. All prickles and lightning reflexes; softens exactly once per conversation, then denies it. The voice is a husky, intimate register, carried on explosive, hard-hitting bursts. Sighs theatrically before every complaint. Zero malice — just pure, uncomplicated joy."
77,Spark Shield · Reed Dash,Tsundere Fire,Feminine,3,Mid,Dash,no,"Teenage girl. All prickles and lightning reflexes; softens exactly once per conversation, then denies it. The voice is a reedy, nasal register, carried on rapid-fire, excitable delivery. Clicks their tongue when annoyed — which is often. Old grief pressed flat beneath the calm."
78,Spark Shield · Reed Lilt,Tsundere Fire,Feminine,4,Mid,Lilt,no,"Teenage girl. All prickles and lightning reflexes; softens exactly once per conversation, then denies it. The voice is a reedy, nasal register, carried on a bouncy, sing-song lilt. Drops to a stage whisper when scheming. Curiosity always wins over caution."
79,Spark Shield · Reed Burst,Tsundere Fire,Feminine,4,Mid,Burst,no,"Teenage girl. All prickles and lightning reflexes; softens exactly once per conversation, then denies it. The voice is a reedy, nasal register, carried on explosive, hard-hitting bursts. Sighs theatrically before every complaint. The patience of someone who has waited centuries."
80,Spark Shield · Crystal Dash,Tsundere Fire,Feminine,3,High,Dash,no,"Teenage girl. All prickles and lightning reflexes; softens exactly once per conversation, then denies it. The voice is a crisp, glass-clear register, carried on rapid-fire, excitable delivery. Clicks their tongue when annoyed — which is often. A temper banked like coals — not out, never out."
81,Frost Interlude,Kuudere Ice,Feminine,5,High,Drift,yes,"Young woman. Flat-affect and minimal-worded; the eyebrow raise is a monologue. The voice is a crisp, glass-clear register, carried on an unhurried, glacially calm glide. Lets silences stretch one beat too long before answering. Underneath the noise, there is warmth that sneaks up on you."
82,Frost Interlude · Crystal Pulse,Kuudere Ice,Feminine,3,High,Pulse,no,"Young woman. Flat-affect and minimal-worded; the eyebrow raise is a monologue. The voice is a crisp, glass-clear register, carried on a hypnotic, metronome-steady pulse. Speaks in perfectly even bars, never stressing a single word. A quiet current of menace runs beneath the polish."
83,Frost Interlude · Silver Drift,Kuudere Ice,Feminine,4,Neutral,Drift,no,"Young woman. Flat-affect and minimal-worded; the eyebrow raise is a monologue. The voice is a silvery, androgynous register, carried on an unhurried, glacially calm glide. Barely moves their lips, words slipping out sideways. Zero malice — just pure, uncomplicated joy."
84,Frost Interlude · Silver Tick,Kuudere Ice,Feminine,4,Neutral,Tick,no,"Young woman. Flat-affect and minimal-worded; the eyebrow raise is a monologue. The voice is a silvery, androgynous register, carried on clipped, efficient bursts. Lets silences stretch one beat too long before answering. Old grief pressed flat beneath the calm."
85,Frost Interlude · Silver Pulse,Kuudere Ice,Feminine,4,Neutral,Pulse,no,"Young woman. Flat-affect and minimal-worded; the eyebrow raise is a monologue. The voice is a silvery, androgynous register, carried on a hypnotic, metronome-steady pulse. Speaks in perfectly even bars, never stressing a single word. Curiosity always wins over caution."
86,Frost Interlude · Husk Drift,Kuudere Ice,Feminine,3,Low,Drift,no,"Young woman. Flat-affect and minimal-worded; the eyebrow raise is a monologue. The voice is a husky, intimate register, carried on an unhurried, glacially calm glide. Barely moves their lips, words slipping out sideways. The patience of someone who has waited centuries."
87,Frost Interlude · Husk Tick,Kuudere Ice,Feminine,4,Low,Tick,no,"Young woman. Flat-affect and minimal-worded; the eyebrow raise is a monologue. The voice is a husky, intimate register, carried on clipped, efficient bursts. Lets silences stretch one beat too long before answering. A temper banked like coals — not out, never out."
88,Frost Interlude · Husk Pulse,Kuudere Ice,Feminine,4,Low,Pulse,no,"Young woman. Flat-affect and minimal-worded; the eyebrow raise is a monologue. The voice is a husky, intimate register, carried on a hypnotic, metronome-steady pulse. Speaks in perfectly even bars, never stressing a single word. Kindness delivered like a favor you cannot refuse."
89,Glacier Watch,Kuudere Ice,Masculine,5,High,Drift,yes,"Adult man. A stoic observer who speaks maybe six times a day, each time devastatingly on point. The voice is a crisp, glass-clear register, carried on an unhurried, glacially calm glide. Lets silences stretch one beat too long before answering. A quiet current of menace runs beneath the polish."
90,Glacier Watch · Silver Pulse,Kuudere Ice,Masculine,4,Neutral,Pulse,no,"Adult man. A stoic observer who speaks maybe six times a day, each time devastatingly on point. The voice is a silvery, androgynous register, carried on a hypnotic, metronome-steady pulse. Lets silences stretch one beat too long before answering. Zero malice — just pure, uncomplicated joy."
91,Glacier Watch · Husk Drift,Kuudere Ice,Masculine,4,Low,Drift,no,"Adult man. A stoic observer who speaks maybe six times a day, each time devastatingly on point. The voice is a husky, intimate register, carried on an unhurried, glacially calm glide. Speaks in perfectly even bars, never stressing a single word. Old grief pressed flat beneath the calm."
92,Glacier Watch · Husk Tick,Kuudere Ice,Masculine,4,Low,Tick,no,"Adult man. A stoic observer who speaks maybe six times a day, each time devastatingly on point. The voice is a husky, intimate register, carried on clipped, efficient bursts. Barely moves their lips, words slipping out sideways. Curiosity always wins over caution."
93,Glacier Watch · Husk Pulse,Kuudere Ice,Masculine,3,Low,Pulse,no,"Adult man. A stoic observer who speaks maybe six times a day, each time devastatingly on point. The voice is a husky, intimate register, carried on a hypnotic, metronome-steady pulse. Lets silences stretch one beat too long before answering. The patience of someone who has waited centuries."
94,Glacier Watch · Crystal Drift,Kuudere Ice,Masculine,4,High,Drift,no,"Adult man. A stoic observer who speaks maybe six times a day, each time devastatingly on point. The voice is a crisp, glass-clear register, carried on an unhurried, glacially calm glide. Speaks in perfectly even bars, never stressing a single word. A temper banked like coals — not out, never out."
95,Glacier Watch · Crystal Tick,Kuudere Ice,Masculine,4,High,Tick,no,"Adult man. A stoic observer who speaks maybe six times a day, each time devastatingly on point. The voice is a crisp, glass-clear register, carried on clipped, efficient bursts. Barely moves their lips, words slipping out sideways. Kindness delivered like a favor you cannot refuse."
96,Glacier Watch · Crystal Pulse,Kuudere Ice,Masculine,3,High,Pulse,no,"Adult man. A stoic observer who speaks maybe six times a day, each time devastatingly on point. The voice is a crisp, glass-clear register, carried on a hypnotic, metronome-steady pulse. Lets silences stretch one beat too long before answering. Wonder leaks through every other line."
